"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dx_cp_interval_2,covid19_details,,text,"<div class=""rich-text-field-label""><p>How many days elapsed between the COVID-19 diagnosis and the <em>first</em> convalescent plasma infusion?</p> <p><span style=""font-weight: normal; color: #236fa1;"">If the patient was infused on the same day as their diagnosis, enter 0 here. If you do not know the answer, enter 9999 here.</span></p></div>",,,integer,,,,"[covid_19_trial_tx(B05AX03)] = '1' and [covid_19_treatment(B05AX03)] = '0'",,,,,,
covid_19_trial_more,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Please specify what other clinical trial treatment. <span style=""font-weight: normal; color: #236fa1;"">(Note: some institutions have restrictions on sharing of this information, please check with your institutional official if you have any questions.)</span></p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[covid_19_trial_tx(OTH)] = '1'",,,,,,
additional_tx,covid19_details,,notes,"<div class=""rich-text-field-label""><p>Additional COVID-19 treatment comments, e.g. specific doses. Please provide further information here.</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
prbc,covid19_details,,radio,"Did the patient receive any PRBC transfusions?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
comments_form_2,covid19_details,"Free text entry (optional)",notes,"<div class=""rich-text-field-label""><p>Comments</p> <p><span style=""font-weight: normal;""><span style=""color: #e03e2d;"">Do not record </span></span><span style=""color: #e03e2d;"">any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,,,,,,,
ts_3,cancer_details,,text,"Timestamp for the cancer details form",,,datetime_dmy,,,,,y,,,,," @HIDDEN @NOW_UTC"
cancer_type,cancer_details,"Cancer-specific data - Mandatory",dropdown,"<div class=""rich-text-field-label""><p>Cancer type. <span style=""font-weight: normal; color: #236fa1;"">If the patient has multiple primaries, please report on the cancer that was most recently treated.</span></p></div>","C132146, Malignant Solid Neoplasm, NOS | C9325, Adrenocortical Carcinoma | C9291, Anal Cancer | C9330, Appendix Cancer | C4436, Bile Duct Cancer (Cholangiocarcinoma) | C4912, Bladder Cancer | C9312, Bone cancer, NOS | C5111, Brain Cancer - benign (e.g., meningioma) | C132067, Brain Cancer - low-grade glioma | C3059, Brain Cancer - high-grade glioma (e.g., GBM) | C4627, Brain (CNS) Cancer, NOS | C4872, Breast Cancer | C9039, Cervical Cancer | C4910, Colon Cancer | C2955, Colon/Rectum Cancer | C3513, Esophagus Cancer | C4817, Ewing Sarcoma | C3867, Fallopian Tube Cancer | C3844, Gallbladder Cancer | C3708, Germ Cell Tumor | C3868, GIST | C4013, Head and Neck Cancer | C4819, Invasive Cutaneous SCC (do not record localized SCC) | C2921, Invasive Cutaneous BCC (do not record localized BCC) | C3234, Mesothelioma | C4039, Ill Defined/Cancer of Unknown Primary | C3099, Liver Cancer (HCC) | C4878, Lung Cancer, NOS | C3224, Melanoma | C9231, Merkel Cell | C3871, Nasopharyngeal Carcinoma | C3270, Neuroblastoma | C3809, Neuroendocrine tumor (NET) or  Carcinoid | C2926, Non Small Cell Lung Cancer (NSCLC) | C9145, Osteosarcoma | C7431, Ovarian Cancer | C3850, Pancreatic Cancer | C4906, Parathyroid Cancer | C9061, Penis Cancer | C3538, Peritoneum Cancer | C3555, Placenta Cancer (incl. Choriocarcinoma) | C4863, Prostate Cancer | C9382, Rectum and Rectosigmoid Cancer | C9385, Renal Kidney Cancer (RCC) | C7355, Renal Pelvis Cancer | C7541, Retinoblastoma | C3359, Rhabdomyosarcoma | C6389, Scrotum Cancer | C4917, Small Cell Lung Cancer | C7724, Small Intestine Cancer | C9306, Soft Tissue Sarcoma, NOS | C4911, Stomach (Gastric) Cancer | C9063, Testis Cancer | C3411, Thymus Cancer | C4815, Thyroid Cancer | C7558, Uterus (Endometrial) Cancer | C3917, Vagina Cancer | C8538, Vascular Sarcoma, NOS | C4866, Vulva Cancer | C3267, Wilms Tumor | C27134, Malignant Hematologic Neoplasm, NOS | C9300, Acute Leukemia | C3171, Acute myeloid leukemia (AML) | C3167, Acute lymphoblastic leukemia (ALL) | C4345, Myeloproliferative neoplasm (MPN) | C3174, Chronic myeloid leukemia (CML) | C3247, Myelodysplastic syndrome (MDS) | C9244, Aggressive lymphoma | C9357, Hodgkin lymphoma | C3211, Non-Hodgkin lymphoma (NHL) | C3457, B-cell non-Hodgkin lymphoma | C8851, Diffuse large B-cell lymphoma (DLBCL) | C4337, Mantle cell lymphoma (MCL) | C2912, Burkitt lymphoma | C8504, Indolent lymphoma | C3209, Follicular lymphoma | C3163, Chronic lymphocytic leukemia (CLL) | C4341, Marginal zone lymphoma | C4665, Plasma cell dyscrasia | C3242, Multiple myeloma | C3819, AL amyloidosis | C27908, T-cell and NK-cell neoplasm | C9308, Lymphoproliferative disorder | C3106, Histiocyte disorder | OTH, Other | OTH_H, Other Heme | OTH_S, Other Solid Tumor",,autocomplete,,,,,y,,,,,"LOINC:63929-4; Terminology: NCIT @HIDECHOICE = 'OTH'"
cancer_type_oth,cancer_details,,text,"Please specify cancer type",,,,,,,"[cancer_type] = 'OTH' or [cancer_type] = 'C132146' or [cancer_type] = 'OTH_H' or [cancer_type] = 'OTH_S' or [cancer_type] = 'C27134'",,,,,,
acute_leukemia_more,cancer_details,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;""><span style=""font-weight: 400;"">This code is not preferred because it is non-specific. If the patient has a myeloid-lineage acute leukemia (AML, APL, AMML, etc) please go back and select acute myeloid leukemia. If the patient has a plasma cell leukemia, please go back and select plasma cell dyscrasia. Otherwise, please enter the specific details below in the additional cancer details.</span></span></p></div>",,,,,,,"[cancer_type] = 'C9300'",,,,,,
lung_nos_more,cancer_details,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;""><span style=""font-weight: 400;"">This code should only be used if you do not know the histology of the lung cancer (e.g., the patient was treated without a confirmatory biopsy) or if the histology overlaps. If you know that the cancer is NSCLC (e.g., adenocarcinoma, squamous cell carcinoma, large cell carcinoma) please go back and select that choice. If you know that the cancer is a low-grade neuroendocrine tumor (i.e., carcinoid), please go back and select carcinoid/NET. If you know that the cancer is a high-grade neuroendocrine tumor (i.e., small cell lung cancer), please go back and select SCLC. Otherwise, please enter the specific histology below in the additional cancer details.</span></span></p></div>",,,,,,,"[cancer_type] = 'C4878'",,,,,,
teravolt,cancer_details,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><span style=""color: #236fa1;"">Please consider donating data to the </span></span><span style=""color: #236fa1; font-weight: normal;"">TERAVOLT (Thoracic cancERs international coVid 19 cOLlaboraTion) registry</span><span style=""font-weight: normal;""><span style=""color: #236fa1;"">, as well. In order to do this, unless you are already part of a member institution, you will need to reach out to Prof. Jennifer Whisenant <a title=""mailto:j.whisenant@vumc.org"" href=""mailto:j.whisenant@vumc.org"" target=""_blank"" rel=""noopener"">j.whisenant@vumc.org</a></span></span></p></div>",,,,,,,"[cancer_type] = 'C4878' or [cancer_type] = 'C2926' or [cancer_type] = 'C4917' or [cancer_type] = 'C3411'",,,,,,
multiple_ca,cancer_details,,radio,"<div class=""rich-text-field-label""><p>Does the patient have multiple malignancies?</p> <p><span style=""font-weight: normal; color: #236fa1;"">This includes multiple active malignancies as well as historic cancers.</span></p></div>","0, No | 1, Yes | 99, Unknown",,,,,,,y,,,,,
multiple_ca_quant,cancer_details,,radio,"<div class=""rich-text-field-label""><p>How many malignancies?</p> <p><span style=""color: #236fa1; font-weight: normal;"">If you do not know the exact number, enter the number that you are aware of (e.g., if you know there are at least three separate malignancies, enter three).</span></p></div>","2, Two | 3, Three | 4, Four | 5, Five or more",,,,,,"[multiple_ca] = '1'",y,,,,,
cancer_type_2,cancer_details,,dropdown,"<div class=""rich-text-field-label""><p>Cancer type of second malignancy. <span style=""font-weight: normal; color: #236fa1;"">If the patient has more than two malignancies, please select the second-most recently diagnosed cancer type. If unknown or unclear, please specify in the free text box below.</span></p></div>","C132146, Malignant Solid Neoplasm, NOS | C9325, Adrenocortical Carcinoma | C9291, Anal Cancer | C9330, Appendix Cancer | C4436, Bile Duct Cancer (Cholangiocarcinoma) | C4912, Bladder Cancer | C9312, Bone cancer, NOS | C5111, Brain Cancer - benign (e.g., meningioma) | C132067, Brain Cancer - low-grade glioma | C3059, Brain Cancer - high-grade glioma (e.g., GBM) | C4627, Brain (CNS) Cancer, NOS | C4872, Breast Cancer | C9039, Cervical Cancer | C4910, Colon Cancer | C2955, Colon/Rectum Cancer | C3513, Esophagus Cancer | C4817, Ewing Sarcoma | C3867, Fallopian Tube Cancer | C3844, Gallbladder Cancer | C3708, Germ Cell Tumor | C3868, GIST | C4013, Head and Neck Cancer | C4819, Invasive Cutaneous SCC (do not record localized SCC) | C2921, Invasive Cutaneous BCC (do not record localized BCC) | C3234, Mesothelioma | C4039, Ill Defined/Cancer of Unknown Primary | C3099, Liver Cancer (HCC) | C4878, Lung Cancer, NOS | C3224, Melanoma | C9231, Merkel Cell | C3871, Nasopharyngeal Carcinoma | C3270, Neuroblastoma | C3809, Neuroendocrine tumor (NET) or  Carcinoid | C2926, Non Small Cell Lung Cancer (NSCLC) | C9145, Osteosarcoma | C7431, Ovarian Cancer | C3850, Pancreatic Cancer | C4906, Parathyroid Cancer | C9061, Penis Cancer | C3538, Peritoneum Cancer | C3555, Placenta Cancer (incl. Choriocarcinoma) | C4863, Prostate Cancer | C9382, Rectum and Rectosigmoid Cancer | C9385, Renal Kidney Cancer (RCC) | C7355, Renal Pelvis Cancer | C7541, Retinoblastoma | C3359, Rhabdomyosarcoma | C6389, Scrotum Cancer | C4917, Small Cell Lung Cancer | C7724, Small Intestine Cancer | C9306, Soft Tissue Sarcoma, NOS | C4911, Stomach (Gastric) Cancer | C9063, Testis Cancer | C3411, Thymus Cancer | C4815, Thyroid Cancer | C7558, Uterus (Endometrial) Cancer | C3917, Vagina Cancer | C8538, Vascular Sarcoma, NOS | C4866, Vulva Cancer | C3267, Wilms Tumor | C27134, Malignant Hematologic Neoplasm, NOS | C9300, Acute Leukemia | C3171, Acute myeloid leukemia (AML) | C3167, Acute lymphoblastic leukemia (ALL) | C4345, Myeloproliferative neoplasm (MPN) | C3174, Chronic myeloid leukemia (CML) | C3247, Myelodysplastic syndrome (MDS) | C9244, Aggressive lymphoma | C9357, Hodgkin lymphoma | C3211, Non-Hodgkin lymphoma (NHL) | C3457, B-cell non-Hodgkin lymphoma | C8851, Diffuse large B-cell lymphoma (DLBCL) | C4337, Mantle cell lymphoma (MCL) | C2912, Burkitt lymphoma | C8504, Indolent lymphoma | C3209, Follicular lymphoma | C3163, Chronic lymphocytic leukemia (CLL) | C4341, Marginal zone lymphoma | C4665, Plasma cell dyscrasia | C3242, Multiple myeloma | C3819, AL amyloidosis | C27908, T-cell and NK-cell neoplasm | C9308, Lymphoproliferative disorder | C3106, Histiocyte disorder | OTH, Other | OTH_H, Other Heme | OTH_S, Other Solid Tumor",,autocomplete,,,,"[multiple_ca] = '1'",y,,,,,"LOINC:63929-4; Terminology: NCIT @HIDECHOICE = 'OTH'"
cancer_type_oth_2,cancer_details,,text,"Please specify cancer type",,,,,,,"[cancer_type_2] = 'OTH' or [cancer_type_2] = 'C132146' or [cancer_type_2] = 'OTH_H' or [cancer_type_2] = 'OTH_S' or [cancer_type_2] = 'C27134'",,,,,,
cancer_type_3,cancer_details,,dropdown,"<div class=""rich-text-field-label""><p>Cancer type of third malignancy. <span style=""font-weight: normal; color: #236fa1;"">If the patient has more than three malignancies, please select the third-most recently diagnosed cancer type. If unknown or unclear, please specify in the free text box below.</span></p></div>","C132146, Malignant Solid Neoplasm, NOS | C9325, Adrenocortical Carcinoma | C9291, Anal Cancer | C9330, Appendix Cancer | C4436, Bile Duct Cancer (Cholangiocarcinoma) | C4912, Bladder Cancer | C9312, Bone cancer, NOS | C5111, Brain Cancer - benign (e.g., meningioma) | C132067, Brain Cancer - low-grade glioma | C3059, Brain Cancer - high-grade glioma (e.g., GBM) | C4627, Brain (CNS) Cancer, NOS | C4872, Breast Cancer | C9039, Cervical Cancer | C4910, Colon Cancer | C2955, Colon/Rectum Cancer | C3513, Esophagus Cancer | C4817, Ewing Sarcoma | C3867, Fallopian Tube Cancer | C3844, Gallbladder Cancer | C3708, Germ Cell Tumor | C3868, GIST | C4013, Head and Neck Cancer | C4819, Invasive Cutaneous SCC (do not record localized SCC) | C2921, Invasive Cutaneous BCC (do not record localized BCC) | C3234, Mesothelioma | C4039, Ill Defined/Cancer of Unknown Primary | C3099, Liver Cancer (HCC) | C4878, Lung Cancer, NOS | C3224, Melanoma | C9231, Merkel Cell | C3871, Nasopharyngeal Carcinoma | C3270, Neuroblastoma | C3809, Neuroendocrine tumor (NET) or  Carcinoid | C2926, Non Small Cell Lung Cancer (NSCLC) | C9145, Osteosarcoma | C7431, Ovarian Cancer | C3850, Pancreatic Cancer | C4906, Parathyroid Cancer | C9061, Penis Cancer | C3538, Peritoneum Cancer | C3555, Placenta Cancer (incl. Choriocarcinoma) | C4863, Prostate Cancer | C9382, Rectum and Rectosigmoid Cancer | C9385, Renal Kidney Cancer (RCC) | C7355, Renal Pelvis Cancer | C7541, Retinoblastoma | C3359, Rhabdomyosarcoma | C6389, Scrotum Cancer | C4917, Small Cell Lung Cancer | C7724, Small Intestine Cancer | C9306, Soft Tissue Sarcoma, NOS | C4911, Stomach (Gastric) Cancer | C9063, Testis Cancer | C3411, Thymus Cancer | C4815, Thyroid Cancer | C7558, Uterus (Endometrial) Cancer | C3917, Vagina Cancer | C8538, Vascular Sarcoma, NOS | C4866, Vulva Cancer | C3267, Wilms Tumor | C27134, Malignant Hematologic Neoplasm, NOS | C9300, Acute Leukemia | C3171, Acute myeloid leukemia (AML) | C3167, Acute lymphoblastic leukemia (ALL) | C4345, Myeloproliferative neoplasm (MPN) | C3174, Chronic myeloid leukemia (CML) | C3247, Myelodysplastic syndrome (MDS) | C9244, Aggressive lymphoma | C9357, Hodgkin lymphoma | C3211, Non-Hodgkin lymphoma (NHL) | C3457, B-cell non-Hodgkin lymphoma | C8851, Diffuse large B-cell lymphoma (DLBCL) | C4337, Mantle cell lymphoma (MCL) | C2912, Burkitt lymphoma | C8504, Indolent lymphoma | C3209, Follicular lymphoma | C3163, Chronic lymphocytic leukemia (CLL) | C4341, Marginal zone lymphoma | C4665, Plasma cell dyscrasia | C3242, Multiple myeloma | C3819, AL amyloidosis | C27908, T-cell and NK-cell neoplasm | C9308, Lymphoproliferative disorder | C3106, Histiocyte disorder | OTH_H, Other Heme | OTH_S, Other Solid Tumor",,autocomplete,,,,"[multiple_ca_quant] = '3' or [multiple_ca_quant] = '4' or [multiple_ca_quant] = '5'",y,,,,,"LOINC:63929-4; Terminology: NCIT"
cancer_type_oth_3,cancer_details,,text,"Please specify cancer type",,,,,,,"[cancer_type_3] = 'C132146' or [cancer_type_3] = 'OTH_H' or [cancer_type_3] = 'OTH_S' or [cancer_type_3] = 'C27134'",,,,,,
cancer_type_4,cancer_details,,dropdown,"<div class=""rich-text-field-label""><p>Cancer type of fourth malignancy. <span style=""font-weight: normal; color: #236fa1;"">If the patient has more than four malignancies, please select the fourth-most recently diagnosed cancer type. If unknown or unclear, please specify in the free text box below.</span></p></div>","C132146, Malignant Solid Neoplasm, NOS | C9325, Adrenocortical Carcinoma | C9291, Anal Cancer | C9330, Appendix Cancer | C4436, Bile Duct Cancer (Cholangiocarcinoma) | C4912, Bladder Cancer | C9312, Bone cancer, NOS | C5111, Brain Cancer - benign (e.g., meningioma) | C132067, Brain Cancer - low-grade glioma | C3059, Brain Cancer - high-grade glioma (e.g., GBM) | C4627, Brain (CNS) Cancer, NOS | C4872, Breast Cancer | C9039, Cervical Cancer | C4910, Colon Cancer | C2955, Colon/Rectum Cancer | C3513, Esophagus Cancer | C4817, Ewing Sarcoma | C3867, Fallopian Tube Cancer | C3844, Gallbladder Cancer | C3708, Germ Cell Tumor | C3868, GIST | C4013, Head and Neck Cancer | C4819, Invasive Cutaneous SCC (do not record localized SCC) | C2921, Invasive Cutaneous BCC (do not record localized BCC) | C3234, Mesothelioma | C4039, Ill Defined/Cancer of Unknown Primary | C3099, Liver Cancer (HCC) | C4878, Lung Cancer, NOS | C3224, Melanoma | C9231, Merkel Cell | C3871, Nasopharyngeal Carcinoma | C3270, Neuroblastoma | C3809, Neuroendocrine tumor (NET) or  Carcinoid | C2926, Non Small Cell Lung Cancer (NSCLC) | C9145, Osteosarcoma | C7431, Ovarian Cancer | C3850, Pancreatic Cancer | C4906, Parathyroid Cancer | C9061, Penis Cancer | C3538, Peritoneum Cancer | C3555, Placenta Cancer (incl. Choriocarcinoma) | C4863, Prostate Cancer | C9382, Rectum and Rectosigmoid Cancer | C9385, Renal Kidney Cancer (RCC) | C7355, Renal Pelvis Cancer | C7541, Retinoblastoma | C3359, Rhabdomyosarcoma | C6389, Scrotum Cancer | C4917, Small Cell Lung Cancer | C7724, Small Intestine Cancer | C9306, Soft Tissue Sarcoma, NOS | C4911, Stomach (Gastric) Cancer | C9063, Testis Cancer | C3411, Thymus Cancer | C4815, Thyroid Cancer | C7558, Uterus (Endometrial) Cancer | C3917, Vagina Cancer | C8538, Vascular Sarcoma, NOS | C4866, Vulva Cancer | C3267, Wilms Tumor | C27134, Malignant Hematologic Neoplasm, NOS | C9300, Acute Leukemia | C3171, Acute myeloid leukemia (AML) | C3167, Acute lymphoblastic leukemia (ALL) | C4345, Myeloproliferative neoplasm (MPN) | C3174, Chronic myeloid leukemia (CML) | C3247, Myelodysplastic syndrome (MDS) | C9244, Aggressive lymphoma | C9357, Hodgkin lymphoma | C3211, Non-Hodgkin lymphoma (NHL) | C3457, B-cell non-Hodgkin lymphoma | C8851, Diffuse large B-cell lymphoma (DLBCL) | C4337, Mantle cell lymphoma (MCL) | C2912, Burkitt lymphoma | C8504, Indolent lymphoma | C3209, Follicular lymphoma | C3163, Chronic lymphocytic leukemia (CLL) | C4341, Marginal zone lymphoma | C4665, Plasma cell dyscrasia | C3242, Multiple myeloma | C3819, AL amyloidosis | C27908, T-cell and NK-cell neoplasm | C9308, Lymphoproliferative disorder | C3106, Histiocyte disorder | OTH_H, Other Heme | OTH_S, Other Solid Tumor",,autocomplete,,,,"[multiple_ca_quant] = '4' or [multiple_ca_quant] = '5'",y,,,,,"LOINC:63929-4; Terminology: NCIT"
cancer_type_oth_4,cancer_details,,text,"Please specify cancer type",,,,,,,"[cancer_type_4] = 'C132146' or [cancer_type_4] = 'OTH_H' or [cancer_type_4] = 'OTH_S' or [cancer_type_4] = 'C27134'",,,,,,
cancer_type_5,cancer_details,,dropdown,"<div class=""rich-text-field-label""><p>Cancer type of fifth malignancy. <span style=""font-weight: normal; color: #236fa1;"">If the patient has more than five malignancies, please select the fifth-most recently diagnosed cancer type. If unknown or unclear, please specify in the free text box below.</span></p></div>","C132146, Malignant Solid Neoplasm, NOS | C9325, Adrenocortical Carcinoma | C9291, Anal Cancer | C9330, Appendix Cancer | C4436, Bile Duct Cancer (Cholangiocarcinoma) | C4912, Bladder Cancer | C9312, Bone cancer, NOS | C5111, Brain Cancer - benign (e.g., meningioma) | C132067, Brain Cancer - low-grade glioma | C3059, Brain Cancer - high-grade glioma (e.g., GBM) | C4627, Brain (CNS) Cancer, NOS | C4872, Breast Cancer | C9039, Cervical Cancer | C4910, Colon Cancer | C2955, Colon/Rectum Cancer | C3513, Esophagus Cancer | C4817, Ewing Sarcoma | C3867, Fallopian Tube Cancer | C3844, Gallbladder Cancer | C3708, Germ Cell Tumor | C3868, GIST | C4013, Head and Neck Cancer | C4819, Invasive Cutaneous SCC (do not record localized SCC) | C2921, Invasive Cutaneous BCC (do not record localized BCC) | C3234, Mesothelioma | C4039, Ill Defined/Cancer of Unknown Primary | C3099, Liver Cancer (HCC) | C4878, Lung Cancer, NOS | C3224, Melanoma | C9231, Merkel Cell | C3871, Nasopharyngeal Carcinoma | C3270, Neuroblastoma | C3809, Neuroendocrine tumor (NET) or  Carcinoid | C2926, Non Small Cell Lung Cancer (NSCLC) | C9145, Osteosarcoma | C7431, Ovarian Cancer | C3850, Pancreatic Cancer | C4906, Parathyroid Cancer | C9061, Penis Cancer | C3538, Peritoneum Cancer | C3555, Placenta Cancer (incl. Choriocarcinoma) | C4863, Prostate Cancer | C9382, Rectum and Rectosigmoid Cancer | C9385, Renal Kidney Cancer (RCC) | C7355, Renal Pelvis Cancer | C7541, Retinoblastoma | C3359, Rhabdomyosarcoma | C6389, Scrotum Cancer | C4917, Small Cell Lung Cancer | C7724, Small Intestine Cancer | C9306, Soft Tissue Sarcoma, NOS | C4911, Stomach (Gastric) Cancer | C9063, Testis Cancer | C3411, Thymus Cancer | C4815, Thyroid Cancer | C7558, Uterus (Endometrial) Cancer | C3917, Vagina Cancer | C8538, Vascular Sarcoma, NOS | C4866, Vulva Cancer | C3267, Wilms Tumor | C27134, Malignant Hematologic Neoplasm, NOS | C9300, Acute Leukemia | C3171, Acute myeloid leukemia (AML) | C3167, Acute lymphoblastic leukemia (ALL) | C4345, Myeloproliferative neoplasm (MPN) | C3174, Chronic myeloid leukemia (CML) | C3247, Myelodysplastic syndrome (MDS) | C9244, Aggressive lymphoma | C9357, Hodgkin lymphoma | C3211, Non-Hodgkin lymphoma (NHL) | C3457, B-cell non-Hodgkin lymphoma | C8851, Diffuse large B-cell lymphoma (DLBCL) | C4337, Mantle cell lymphoma (MCL) | C2912, Burkitt lymphoma | C8504, Indolent lymphoma | C3209, Follicular lymphoma | C3163, Chronic lymphocytic leukemia (CLL) | C4341, Marginal zone lymphoma | C4665, Plasma cell dyscrasia | C3242, Multiple myeloma | C3819, AL amyloidosis | C27908, T-cell and NK-cell neoplasm | C9308, Lymphoproliferative disorder | C3106, Histiocyte disorder | OTH_H, Other Heme | OTH_S, Other Solid Tumor",,autocomplete,,,,"[multiple_ca_quant] = '5'",y,,,,,"LOINC:63929-4; Terminology: NCIT"
cancer_type_oth_5,cancer_details,,text,"Please specify cancer type",,,,,,,"[cancer_type_5] = 'C132146' or [cancer_type_5] = 'OTH_H' or [cancer_type_5] = 'OTH_S' or [cancer_type_5] = 'C27134'",,,,,,
multiple_ca_more,cancer_details,,notes,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Multiple malignancies - further details.</span><span style=""font-weight: normal; color: #236fa1;""> Please provide further details, including whether the primary cancers were synchronous or metachronous, the types of the multiple primaries, etc.</span></p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[multiple_ca] = '1'",,,,,,
breast_biomarkers,cancer_details,,checkbox,"<div class=""rich-text-field-label""><p><span style=""color: #169179;"">Breast cancer specific:</span> What is the breast cancer phenotype? <span style=""color: #236fa1;""><span style=""font-weight: normal;"">Check all that apply.</span></span></p> <p style=""margin: 0in; font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; letter-spacing: normal; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal;""><strong>Instructions: </strong></span></p> <ul> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;""><strong>Oncology notes: (Medical, Surgical, or Radiation oncology notes):</strong> Information obtained from the most recent oncology note would suffice. Ideally, data entry is from the medical oncologist note, but if not available surgical or radiation oncology notes may also have the details of the information. Confirmation with pathology report is not required (unless the clinic notes fails to comment on both hormone receptors as well as HER2 status).</span></li> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;""><strong>Pathology Reports:</strong> If the most recent note is unclear, proceed as follows for assessing pathology reports:</span> <ul style=""margin-bottom: 0in; margin-top: 0in;""> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;"">For patients with stage IV or metastatic breast cancer, use the receptor information from the most recent biopsy of the metastatic site, if unavailable, can use information from primary surgery or initial diagnostic biopsy.</span></li> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;"">For stages I-III breast cancer, use information from surgery if available, otherwise use information from initial diagnostic biopsy.</span></li> </ul> </li> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;""><strong>Hormone receptor (HR) status</strong><strong>:</strong></span> <ul style=""margin-bottom: 0in; margin-top: 0in;""> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;"">Hormone receptor (HR) can refer to Estrogen receptor (ER) and/or progesterone receptor (PR). Any estrogen-receptor (ER) or progesterone-receptor (PR) expression above 1% on immunohistochemistry (IHC) is considered positive.</span></li> </ul> </li> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: red; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;""><strong>HER2 Status:</strong></span> <ul style=""margin-bottom: 0in; margin-top: 0in;""> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;"">Positive: HER2 is considered positive if described as “overexpressed” or “3+ positive” by IHC or “amplified” by FISH.</span></li> <li style=""margin: 0in 0in 8pt; font-size: 11pt; font-family: Calibri, sans-serif; color: #4472c4; line-height: 15.399999618530273px;""><span style=""font-weight: normal; color: #236fa1;"">Of note 0 or 1+ by IHC is considered negative. If IHC is described as 2+, please refer to FISH results or final interpretation for the HER2 results.</span></li> <li style=""font-size: 11pt; font-family: Calibri, sans-serif; caret-color: #000000; color: #000000; font-variant-caps: normal; letter-spacing: normal; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; text-size-adjust: auto; -webkit-text-stroke-width: 0px; text-decoration: none;""><span style=""font-weight: normal; color: #236fa1;"">Positive FISH results (described as <u>positive or amplified)</u> always supersede IHC results, if there are discrepant results between the two.</span></li> </ul> </li> </ul></div>","ER, Estrogen and/or progesterone-receptor positive (ER or PR positive) | HER2, HER2 overexpressing (HER2 positive) | TNBC, Triple-negative breast cancer (ER, PR, and HER2 negative) | 99, Unknown",,,,,,"[cancer_type] = 'C4872' or [cancer_type_2] = 'C4872' or [cancer_type_3] = 'C4872' or [cancer_type_4] = 'C4872' or [cancer_type_5] = 'C4872'",,,,,,
